Video Name,Diameters
18-10-24_10-21-33_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 46, 46"
18-10-24_10-34-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 46, 44, 44"
18-10-24_10-44-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 42, 42, 46, 48, 48, 48, 46, 46, 46, 46, 42, 42, 42, 42, 42, 42, 44, 48, 42, 48, 48, 46, 46, 48, 46, 44, 42, 42, 42, 42, 42, 42, 46, 46, 42, 42, 44, 46, 42, 42, 42, 42, 44, 44, 48, 48, 46, 46, 48, 46, 46, 48, 46, 42, 42, 42, 46, 46, 46, 48, 48, 48, 48, 42, 44, 46, 46, 48, 48, 46, 48, 48, 48, 46, 46, 48, 48, 48, 46, 48, 48, 46, 42, 42, 42, 42, 42, 42, 48, 46, 42, 42, 44, 44, 46, 46, 46, 46, 42, 42, 42, 42, 46, 46, 42, 42, 42, 42, 46, 46, 46, 48, 46, 46, 46, 46, 44, 48, 48, 46, 48, 42, 44, 42, 42, 42, 46, 46, 48, 46"
18-10-24_11-08-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 42, 46"
18-10-24_11-22-33_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48"
