Video Name,Diameters
18-10-24_10-21-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48"
18-10-24_10-23-33_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48"
18-10-24_10-23-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48"
18-10-24_10-24-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 44"
18-10-24_10-25-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 46, 44, 46, 48, 46, 46, 44, 44, 48, 48, 42, 42"
18-10-24_10-27-33_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48"
18-10-24_10-27-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 42, 42"
18-10-24_10-28-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 44, 44, 48, 40, 42, 42, 48, 48, 44, 42"
18-10-24_10-30-33_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 42, 42, 42, 42"
18-10-24_10-30-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48"
18-10-24_10-31-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 44, 40, 48, 42, 46, 48, 48"
18-10-24_10-32-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 42, 42, 44, 44, 44, 42, 42"
18-10-24_10-33-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 44"
18-10-24_10-34-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 44, 44"
18-10-24_10-35-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 42, 48, 48, 48, 48, 44, 44, 48, 48, 46, 48, 44, 44, 46, 46, 48"
18-10-24_10-36-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48"
18-10-24_10-37-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 44"
18-10-24_10-38-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 46, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 48, 48, 48, 48, 44, 44, 48, 48, 48, 48, 44, 48, 48, 48, 48, 46, 48, 48, 48, 48, 48, 46, 46"
18-10-24_10-39-43_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 40"
