0.0,-14955.072,-42029.04,-24880.1,1584.872,-24477.148,-20632.758,-7599.6855,-26451.105,-13742.317,-18036.34,-23797.13,-13985.926,-25191.592,-17717.871,-20406.857,-22520.145,-16526.746,-22974.746,-16493.55,-19493.023,-18370.07,-15877.355,-19253.033,-14920.064
-18342.918,-16490.135,-17043.371,-18673.082,-16995.611,-19901.451,-18377.393,-19984.844,-20074.14,-19612.346,-20819.953,-19324.096,-20206.291,-19146.715,-18907.328,-18736.69,-17645.373,-18030.572,-17091.303,-17359.307,-17219.42,-17184.744,-17762.176,-17682.766,-18438.889
-18596.1,-19098.994,-19526.5,-19588.928,-19947.613,-19750.201,-19796.098,-19527.727,-19188.78,-18934.781,-18434.379,-18186.629,-17802.877,-17622.615,-17506.336,-17429.438,-17589.678,-17719.898,-18042.125,-18338.625,-18668.66,-19010.24,-19237.988,-19481.559,-19566.244
-19582.287,-19509.258,-19342.713,-19119.234,-18812.096,-18533.975,-18236.47,-17991.324,-17820.803,-17719.312,-17724.984,-17777.592,-17923.299,-18137.41,-18393.506,-18667.77,-18910.664,-19120.664,-19260.787,-19351.55,-19373.512,-19297.607,-19165.84,-18986.213,-18767.883
-18539.08,-18320.195,-18130.748,-17998.586,-17923.318,-17916.422,-17988.865,-18103.65,-18258.502,-18441.145,-18633.336,-18829.035,-18983.068,-19093.354,-19155.594,-19158.604,-19122.012,-19019.824,-18875.01,-18723.242,-18549.748,-18387.889,-18255.645,-18159.996,-18116.332
-18112.42,-18154.602,-18238.807,-18352.088,-18489.758,-18631.258,-18758.617,-18867.762,-18956.627,-19000.871,-18992.564,-18956.645,-18891.354,-18795.625,-18681.887,-18556.863,-18444.264,-18356.477,-18298.207,-18270.404,-18267.021,-18299.66,-18355.4,-18421.95,-18514.152
-18620.43,-18719.03,-18791.672,-18829.867,-18858.94,-18875.412,-18843.47,-18784.23,-18726.879,-18660.61,-18585.01,-18508.27,-18443.625,-18406.5,-18395.518,-18399.959,-18416.729,-18451.945,-18496.555,-18544.3,-18608.492,-18669.709,-18701.73,-18722.125,-18740.055
-18739.99,-18721.318,-18696.736,-18664.55,-18625.66,-18587.518,-18545.383,-18511.023,-18488.621,-18479.361,-18498.125,-18512.363,-18513.264,-18538.094,-18570.145,-18589.635,-18609.057,-18628.445,-18640.295,-18643.916,-18642.78,-18638.814,-18634.17,-18618.19,-18597.945
-18590.238,-18578.861,-18566.6,-18559.549,-18558.605,-18569.68,-18568.543,-18567.63,-18578.973,-18576.352,-18571.518,-18577.275,-18588.129,-18587.236,-18574.297,-18568.783,-18566.232,-18573.441,-18582.959,-18590.61,-18596.402,-18589.059,-18604.053,-18628.309,-18636.412
-18643.357,-18642.29,-18639.014,-18618.875,-18601.365,-18591.87,-18548.73,-18529.29,-18531.834,-18517.586,-18518.775,-18522.104,-18534.732,-18551.395,-18566.674,-18604.338,-18628.957,-18641.635,-18659.693,-18670.94,-18672.621,-18666.96,-18657.97,-18635.14,-18610.658
-18588.557,-18557.55,-18530.172,-18507.293,-18492.28,-18492.086,-18496.615,-18507.123,-18532.887,-18565.498,-18594.709,-18619.602,-18646.273,-18668.184,-18679.893,-18696.148,-18694.406,-18664.793,-18639.93,-18617.45,-18583.693,-18548.332,-18521.865,-18491.86,-18467.145
