Video Name,Diameters
18-10-24_15-47-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 42, 48, 48, 48, 46, 48, 48, 48, 46, 46, 44, 46, 48, 48, 48, 48, 48, 48, 44, 44, 48, 48, 46, 46, 48, 48, 44, 44, 46, 46, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 46, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 44, 42, 42, 42, 42, 44, 44, 48, 46, 48, 48, 48, 48, 48, 42, 42, 48, 44, 48, 46, 48, 48, 46, 46, 48, 48, 48, 46, 48, 48, 46, 46, 46, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 44, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 46, 48, 42, 42, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 46, 42, 48, 44, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48"
18-10-24_15-48-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 44, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 44, 44, 48, 42, 48, 48, 42, 42, 48, 48, 48, 48, 48, 44, 44, 44, 44, 48, 48, 48, 48, 48, 44, 48, 48, 46, 46, 48, 48, 46, 46, 46, 46, 48, 48, 44, 44, 48, 48, 42, 44, 46, 46, 42, 44, 44, 42, 42, 48, 48, 48, 48, 48, 46, 42, 42, 48, 48, 48, 48, 48, 48, 46, 46, 46, 46, 44, 44, 44, 48, 46, 46, 42, 42, 48, 48, 48, 42, 42, 42, 44, 48, 48, 48, 48, 48, 44, 42, 48, 44, 48, 48, 46, 48, 46, 46, 48, 48, 48, 48, 44, 48, 48, 44, 44, 44, 44, 44, 46, 46, 46, 42, 48, 48, 46, 46, 48, 48, 48, 48, 48, 46, 46, 46, 42, 42, 42, 42, 44, 42, 42, 44, 44, 42, 44, 46, 44, 42, 46, 42, 48, 46, 42, 48, 48, 42, 42, 42, 46, 42, 48, 48, 48, 48"
18-10-24_15-49-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 42, 46, 42, 48, 48, 42, 46, 46, 46, 48, 48, 46, 46, 44, 48, 48, 48, 46, 48, 48, 46, 46, 48, 48, 46, 46, 48, 48, 42, 42, 42, 42, 48, 48, 48, 48, 46, 46, 44, 44, 46, 46, 44, 44, 44, 46, 46, 48, 44, 42, 44, 44, 46, 42, 48, 48, 42, 48, 42, 42, 46, 46, 48, 48, 48, 48, 46, 42, 48, 48, 46, 48, 48, 48, 48, 42, 42, 48, 48, 46, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 44, 42, 44, 44, 48, 48, 42, 44, 46, 46, 48, 48, 42, 42, 48, 48, 42, 46, 42, 42, 48, 48, 46, 46, 44, 44, 48, 48, 42, 42, 48, 48, 48, 46, 46, 44, 44, 48, 46, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 42, 48, 46, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 42, 48, 48, 48, 48, 48, 48, 48, 48"
18-10-24_15-50-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 48, 42, 48, 42, 48, 48, 48, 48, 48, 46, 44, 42, 44, 48, 48, 46, 42, 44, 42, 42, 42, 42, 42, 42, 48, 48, 48, 48, 48, 42, 48, 48, 48, 48, 48, 48, 46, 46, 48, 42, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 42, 46, 46, 44, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 44, 46, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 46, 48, 48, 42, 48, 42, 46, 46, 46, 48, 46, 48, 46, 48, 48, 48, 48, 48, 46, 46, 46, 46, 46, 46, 48, 48, 48, 46, 48, 48, 42, 42, 46, 46, 46, 46, 48, 48, 46, 46, 48, 44, 48, 48, 46, 46, 46, 46, 48, 48, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 48, 42, 42, 42, 42, 42, 48"
18-10-24_15-51-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 46, 48, 48, 48, 48, 48, 48, 44, 48, 48, 48, 48, 48, 48, 46, 46, 48, 46, 46, 48, 48, 48, 48, 48, 46, 48, 46, 46, 46, 46, 46, 46, 48, 48, 46, 42, 42, 48, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48, 46, 46, 46, 46, 46, 48, 48, 48, 48, 46, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 44, 44, 46, 46, 48, 48, 46, 48, 48, 48, 48, 46, 46, 46, 46, 46, 46, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 46, 48, 48, 48, 42, 48, 48, 48, 48, 48, 48, 46, 46, 42, 44, 48, 48, 42, 46, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 46, 46, 46, 46, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 46, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 46, 46, 46, 48, 48, 48, 48, 48, 48, 48"
18-10-24_15-52-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 42, 42, 46, 46, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 42, 48, 48, 48, 42, 48, 48, 48, 46, 48, 48, 44, 48, 44, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 46, 46, 48, 48, 48, 48, 44, 44, 48, 48, 46, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 48, 48, 48, 42, 48, 48, 48, 48, 46, 48, 48, 48, 42, 42, 48, 48, 48, 48, 48, 48, 46, 46, 44, 44, 48, 48, 48, 48, 48, 48, 42, 42, 42, 44, 42, 42, 48, 48, 48, 48, 48, 46, 46, 46, 46, 46, 46, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 48, 46, 46, 48, 48, 48, 48, 46, 46, 48, 48, 48"
18-10-24_15-53-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 48, 48, 46, 46, 42, 44, 48, 48, 48, 48, 48, 44, 44, 48, 48, 48, 48, 48, 48, 48, 42, 48, 46, 48, 42, 48, 42, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 48, 48, 48, 48, 48, 46, 46, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 48, 48, 48, 48, 48, 48, 48, 44, 44, 48, 48, 44, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48, 48, 48, 48, 44, 44, 48, 44, 44, 44, 46, 46, 48, 48, 48, 48, 48, 48, 48, 46, 48, 42, 48, 48, 48, 48, 48, 48, 46, 46, 48, 42, 48, 48, 48, 44, 48, 48, 46, 46, 42, 42, 46, 48, 44, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48"
18-10-24_15-54-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 48, 48, 48, 46, 46, 44, 48, 44, 44, 44, 48, 44, 48, 48, 48, 42, 48, 48, 48, 42, 42, 48, 48, 46, 46, 48, 48, 48, 44, 42, 42, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 46, 44, 44, 44, 44, 44, 48, 48, 44, 44, 42, 42, 44, 42, 44, 44, 48, 48, 48, 48, 48, 42, 44, 46, 48, 44, 42, 42, 44, 44, 44, 44, 44, 42, 48, 44, 42, 44, 44, 44, 44, 44, 48, 48, 48, 42, 42, 44, 48, 48, 44, 48, 48, 42, 42, 44, 44, 48, 46, 44, 46, 48, 46, 46, 46, 46, 46, 44, 44, 46, 42, 48, 48, 48, 48, 48, 44, 48, 44, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 42, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48"
18-10-24_15-55-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 42, 48, 46, 48, 48, 48, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 46, 46, 48, 48, 48, 46, 48, 48, 42, 42, 48, 48, 42, 42, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 46, 48, 42, 46, 46, 48, 48, 46, 46, 48, 48, 48, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 44, 44, 48, 48, 48, 46, 46, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 46, 48, 48, 46, 48, 48, 46, 48, 46, 46, 46, 48, 48, 46, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 48, 44, 44, 46"
18-10-24_15-56-20_VIDEO_OJO_UX.avi,"48, 48, 48, 48, 48, 44, 44, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 48, 48, 48, 48, 44, 44, 44, 48, 48, 48, 48, 48, 46, 48, 48, 46, 48, 48, 48, 48, 48, 48, 48, 46, 44, 46, 46, 48, 48, 44, 42, 48, 48, 48, 48, 48, 44, 44, 44, 48, 48, 48, 48, 44, 48, 48, 48, 48, 48, 44, 44, 48, 48, 46, 48, 44, 44, 42, 42, 48, 44, 44, 42, 42, 42, 48, 48, 46, 46, 48, 48, 48, 48, 46, 46, 48, 48, 48, 48, 42, 48, 46, 42, 48, 48, 46, 46, 48, 48, 48, 48, 42, 42, 44, 44, 48, 42, 48, 48, 46, 48, 46, 46, 42, 44, 48, 48, 42, 44, 48, 48, 48, 48, 48, 48, 42, 42, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 44, 46, 46, 46, 48, 48, 44, 44, 46, 46, 48, 44, 46, 46, 48, 48, 46, 46, 48, 48, 48, 46, 42, 42, 44, 44, 42, 48, 48, 48, 48, 42, 44, 48, 44, 44, 44, 42"
